# extr,#blocks,mean-0.5,error,variance,error,chi squared
10000,1,0.00121425,0,-6.95398e-05,0,103.36
20000,2,0.0022394,0.00102515,0.000468479,0.000538018,85.14
30000,3,0.000143239,0.00217812,0.000164957,0.000434297,98.9
40000,4,0.000521687,0.00158598,0.000138291,0.00030825,87.92
50000,5,0.00158312,0.00162352,0.000145618,0.000238881,105.1
60000,6,0.00189182,0.00136107,0.000417643,0.000334725,137.16
70000,7,0.00207757,0.00116522,0.000428629,0.000283108,85.74
80000,8,0.00189573,0.00102536,0.000359906,0.000254628,99.54
90000,9,0.00136663,0.0010477,0.000288731,0.00023557,95.92
100000,10,0.00143761,0.000939773,0.000207252,0.000225906,121.64
110000,11,0.00120434,0.000881482,0.000116317,0.00022366,93.22
120000,12,0.00100181,0.000829777,9.34056e-05,0.000205454,79.1
130000,13,0.00119756,0.000787986,0.000148031,0.000196727,85.02
140000,14,0.00117818,0.000729791,4.1933e-05,0.000210783,90.42
150000,15,0.000969557,0.000710709,0.000192345,0.000247244,99.06
160000,16,0.000628634,0.000747126,0.000180798,0.000231563,121.22
170000,17,0.00074851,0.000711967,0.000144643,0.0002205,99.92
180000,18,0.000626576,0.000682234,0.000128154,0.000208542,88.56
190000,19,0.000728416,0.000653315,9.72876e-05,0.000199662,102.92
200000,20,0.000840856,0.000629906,0.000170718,0.000203151,120.98
210000,21,0.000899324,0.000602006,0.000199385,0.00019535,86.22
220000,22,0.00085626,0.000575603,0.000183865,0.000186904,116.78
230000,23,0.000541668,0.000633622,0.00022172,0.000182561,123.8
240000,24,0.000632187,0.000613363,0.0002439,0.00017619,92.56
250000,25,0.000810814,0.000614837,0.000233239,0.000169332,98.02
260000,26,0.000757785,0.000593092,0.000196225,0.000166846,102.34
270000,27,0.00102984,0.00063223,0.000198432,0.000160563,92.34
280000,28,0.00121068,0.000635505,0.00020695,0.000154957,103.16
290000,29,0.0012159,0.000613222,0.000220858,0.000150164,79.44
300000,30,0.00114927,0.000596163,0.000284484,0.000158411,123.34
310000,31,0.00115563,0.000576647,0.000244217,0.000158419,88.9
320000,32,0.00104425,0.000569339,0.000203546,0.000158689,90.88
330000,33,0.000895219,0.000571586,0.000194899,0.000154048,106.58
340000,34,0.000811098,0.000560864,0.000195801,0.000149451,94.46
350000,35,0.000697701,0.000556284,0.000189051,0.000145275,101.5
360000,36,0.000752947,0.000543426,0.000211869,0.000143014,85.52
370000,37,0.000843589,0.000536251,0.000165621,0.000146582,105
380000,38,0.000837548,0.000521983,0.000144316,0.000144255,133.22
390000,39,0.000927067,0.000516244,0.00012467,0.000141874,96.64
400000,40,0.000890247,0.000504518,0.000113069,0.000138767,95.16
410000,41,0.000921302,0.000493038,9.29984e-05,0.000136821,102.76
420000,42,0.000948755,0.000481938,0.000101417,0.000133788,107.68
430000,43,0.000905455,0.000472585,0.000105576,0.000130706,113.9
440000,44,0.000779402,0.000478617,0.000101458,0.000127767,115.6
450000,45,0.000906427,0.000484797,8.91009e-05,0.000125506,113.24
460000,46,0.000869839,0.000475551,7.58568e-05,0.000123459,109.42
470000,47,0.000766905,0.000476572,5.14107e-05,0.000123253,115.5
480000,48,0.000610291,0.000492123,5.71618e-05,0.000120795,104.76
490000,49,0.000580154,0.000482916,5.99502e-05,0.000118337,106.86
500000,50,0.000599533,0.000473556,7.00117e-05,0.000116381,92.06
510000,51,0.000519316,0.000471058,6.02554e-05,0.000114493,132.08
520000,52,0.000529541,0.000462024,6.4589e-05,0.000112353,100.28
530000,53,0.000523971,0.000453257,5.05524e-05,0.000111103,105.66
540000,54,0.00042748,0.00045513,3.36441e-05,0.00011033,99.08
550000,55,0.000455775,0.000447673,5.73265e-05,0.000110864,81.88
560000,56,0.000468364,0.000439787,6.89081e-05,0.000109481,102.14
570000,57,0.000461443,0.000432058,5.25976e-05,0.000108773,88.8
580000,58,0.00045429,0.000424603,7.03175e-05,0.00010834,94.56
590000,59,0.000477798,0.000418006,6.60001e-05,0.000106575,91.84
600000,60,0.000453841,0.000411678,6.04296e-05,0.000104932,108.66
610000,61,0.000389707,0.000409921,7.01481e-05,0.000103654,120.68
620000,62,0.000353427,0.000404884,6.23337e-05,0.000102267,85.96
630000,63,0.000302973,0.000401587,5.50746e-05,0.000100892,85.92
640000,64,0.000273399,0.000396368,7.23066e-05,0.000100788,86.64
650000,65,0.000215875,0.000394439,8.29087e-05,9.97896e-05,94
660000,66,0.000220816,0.000388448,6.82515e-05,9.93531e-05,88.9
670000,67,0.000193375,0.000383589,6.55138e-05,9.78973e-05,107.42
680000,68,0.000247045,0.000381699,6.56253e-05,9.6447e-05,102.5
690000,69,0.00021809,0.000377239,6.61036e-05,9.50401e-05,113.28
700000,70,0.000281377,0.000377158,6.31508e-05,9.37191e-05,118.88
710000,71,0.000292327,0.00037197,5.31948e-05,9.29246e-05,94.4
720000,72,0.000305733,0.000367012,5.7177e-05,9.17114e-05,90.5
730000,73,0.000320422,0.000362247,4.18016e-05,9.17439e-05,88.86
740000,74,0.000334989,0.000357615,4.14182e-05,9.04964e-05,89.36
750000,75,0.000334408,0.000352815,5.03917e-05,8.97315e-05,75.46
760000,76,0.000323595,0.00034831,6.69145e-05,9.00714e-05,90.92
770000,77,0.00030772,0.000344123,7.08049e-05,8.8979e-05,87.54
780000,78,0.000290556,0.000340116,5.95076e-05,8.85544e-05,84.2
790000,79,0.000245765,0.000338757,5.61467e-05,8.74909e-05,116.44
800000,80,0.000256449,0.000334667,5.56294e-05,8.63919e-05,126.02
810000,81,0.000267861,0.000330706,4.13399e-05,8.6507e-05,89.98
820000,82,0.000230042,0.00032883,3.58955e-05,8.56188e-05,97.86
830000,83,0.000198254,0.000326396,3.88262e-05,8.46317e-05,84.8
840000,84,0.000160666,0.00032467,3.29828e-05,8.3822e-05,100.22
850000,85,0.000108836,0.000324987,3.80354e-05,8.2984e-05,82.34
860000,86,7.06235e-05,0.000323451,5.00145e-05,8.28836e-05,78.96
870000,87,0.000102384,0.000321286,4.22121e-05,8.22961e-05,87.86
880000,88,0.000100932,0.000317617,5.90688e-05,8.30835e-05,126.68
890000,89,0.000100153,0.000314029,7.34133e-05,8.33877e-05,83.14
900000,90,5.88804e-05,0.000313251,7.72594e-05,8.25456e-05,108.58
910000,91,0.000129317,0.000317696,7.13338e-05,8.18483e-05,117.26
920000,92,0.000126361,0.000314238,8.46461e-05,8.2041e-05,116.42
930000,93,9.79176e-05,0.000312139,6.8033e-05,8.2837e-05,81.04
940000,94,0.000106628,0.000308924,6.67698e-05,8.19608e-05,97.44
950000,95,0.000127046,0.000306336,6.10601e-05,8.12942e-05,79.22
960000,96,0.00018357,0.000308353,6.29128e-05,8.04643e-05,99.66
970000,97,0.000143861,0.00030773,7.34703e-05,8.03272e-05,100.22
980000,98,0.000144251,0.000304574,7.82737e-05,7.96483e-05,95.24
990000,99,0.000119269,0.000302515,7.57568e-05,7.88798e-05,89.88
1000000,100,0.00011437,0.000299515,7.22669e-05,7.8165e-05,108.24
